# run_start,run_end,burst,mcp2fluence1,mcp2fluence2,norm_offset,norm_slope,phot_scale,phot_shift
2.400000000000000000e+01,2.400000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.450720000000000086e-03,-1.643500000000000000e+03
2.800000000000000000e+01,4.700000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.450720000000000086e-03,-1.643500000000000000e+03
4.800000000000000000e+01,5.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.115279731635600946e+01,-3.901360604746277605e-02,5.879499690722818188e-03,-1.460021456477187712e+03
5.100000000000000000e+01,6.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.051472432754989228e+01,-3.787724636361603642e-02,5.937901401951699125e-03,-1.466820839775460854e+03
6.100000000000000000e+01,6.400000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.334999999999999964e+00,-2.998999999999999930e-02,7.450720000000000086e-03,-1.642309999999999945e+03
6.500000000000000000e+01,6.500000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.389999999999999680e+00,-3.864000000000000073e-02,7.450720000000000086e-03,-1.643500000000000000e+03
6.600000000000000000e+01,7.000000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.019999999999999574e+00,-2.764000000000000137e-02,7.450720000000000086e-03,-1.643500000000000000e+03
7.100000000000000000e+01,1.040000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.450720000000000086e-03,-1.709839999999999918e+03
1.050000000000000000e+02,1.070000000000000000e+02,0.000000000000000000e+00,1.546999999999999890e-08,0.000000000000000000e+00,6.357600852177291983e+00,-2.167606062592221036e-02,6.458037817645338394e-03,-1.585717726524102773e+03
1.080000000000000000e+02,1.080000000000000000e+02,0.000000000000000000e+00,2.203000000000000083e-05,0.000000000000000000e+00,8.148491593809108480e+00,-3.934636513585479389e-02,6.458037817645338394e-03,-1.585717726524102773e+03
1.090000000000000000e+02,1.180000000000000000e+02,1.000000000000000000e+00,2.203000000000000083e-05,0.000000000000000000e+00,8.148491593809108480e+00,-3.934636513585479389e-02,6.458037817645338394e-03,-1.585717726524102773e+03
1.200000000000000000e+02,1.220000000000000000e+02,0.000000000000000000e+00,2.203000000000000083e-05,0.000000000000000000e+00,6.357600852177291983e+00,-2.167606062592221036e-02,6.458037817645338394e-03,-1.585717726524102773e+03
1.230000000000000000e+02,1.230000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.357600852177291983e+00,-2.167606062592221036e-02,6.458037817645338394e-03,-1.585717726524102773e+03
1.240000000000000000e+02,1.250000000000000000e+02,0.000000000000000000e+00,1.546999999999999890e-08,0.000000000000000000e+00,6.357600852177291983e+00,-2.167606062592221036e-02,6.458037817645338394e-03,-1.585717726524102773e+03
1.260000000000000000e+02,1.270000000000000000e+02,0.000000000000000000e+00,3.672999999999999816e-06,0.000000000000000000e+00,6.635956273899653368e+00,-3.475801433073665708e-02,6.458037817645338394e-03,-1.585717726524102773e+03
1.290000000000000000e+02,1.310000000000000000e+02,0.000000000000000000e+00,3.672999999999999816e-06,0.000000000000000000e+00,6.357600852177291983e+00,-2.167606062592221036e-02,6.458037817645338394e-03,-1.585717726524102773e+03
1.320000000000000000e+02,1.320000000000000000e+02,1.000000000000000000e+00,8.629999999999999705e-05,0.000000000000000000e+00,7.080000000000000071e+00,-3.350000000000000200e-02,7.450720000000000086e-03,-1.709405999999999949e+03
1.330000000000000000e+02,1.340000000000000000e+02,0.000000000000000000e+00,8.629999999999999705e-05,0.000000000000000000e+00,6.509000000000000341e+00,-3.049999999999999933e-02,7.450720000000000086e-03,-1.709839999999999918e+03
1.440000000000000000e+02,1.440000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.008500000000000085e+01,-3.139999999999999736e-02,7.450720000000000086e-03,-1.709263999999999896e+03
